,algo,step,millisFromStart,qcEvals,modelEvals,qc
1,TABU_50,260,2833,2350,25938,1.0628093451343095
2,METRO_20,26789,2713,18668,26790,1.1950864004475168
3,METRO_50,77365,8361,54215,77366,1.2105947448635568
4,TABU_5,32,772,311,3234,29.272247323222764
5,TABU_10,32,313,311,3234,29.272247323222764
6,STEEPEST_DESCENT,32,287,311,3265,29.272247323222764
7,PARALLEL_5_1.0_200.0,2,9614,3238,4364,29.272247323222764
8,RANDOM_DESCENT,270,27,204,271,32.72189503819726
9,PARALLEL_10_10_100.0,2,6272,6427,8647,39.28151526044035
